vöktum,vœxtʏm
hvítvoðungur,kʰvi:tvɔðuŋkʏr
hvívetna,kʰvi:vɛhtna
hvolf,kʰvɔlv
hvolfa,kʰvɔlva
hvolfdi,kʰvɔltɪ
hvolfdist,kʰvɔltɪst
hvolfi,kʰvɔlvɪ
hvolft,kʰvɔl̥t
hvoli,kʰvɔ:lɪ
hvolp,kʰvɔl̥p
hvolpa,kʰvɔl̥pa
hvolpafóður,kʰvɔl̥pafɔ:uðʏr
hvolpana,kʰvɔl̥pana
hvolpar,kʰvɔl̥par
hvolparnir,kʰvɔl̥partnɪr
hvolpinn,kʰvɔl̥pɪn
hvolpinum,kʰvɔl̥pɪnʏm
hvolpur,kʰvɔl̥pʏr
hvolpurinn,kʰvɔl̥pʏrɪn
hvolsvelli,kʰvɔlsvɛtlɪ
hvolsvöllur,kʰvɔlsvœtlʏr
hvor,kʰvɔ:r
hvora,kʰvɔ:ra
hvorir,kʰvɔ:rɪr
hvorki,kʰvɔr̥cɪ
hvorn,kʰvɔtn̥
hvorrar,kʰvɔrar
hvorri,kʰvɔrɪ
hvors,kʰvɔr̥s
hvort,kʰvɔr̥t
hvorttveggja,kʰvɔr̥tvɛca
hvoru,kʰvɔ:rʏ
hvorug,kʰvɔ:rʏɣ
hvorugan,kʰvɔ:rʏɣan
hvorugri,kʰvɔ:rʏɣrɪ
hvorugt,kʰvɔ:rʏxt
hvorugu,kʰvɔ:rʏɣʏ
hvorugum,kʰvɔ:rʏɣʏm
hvorugur,kʰvɔ:rʏɣʏr
hvorum,kʰvɔ:rʏm
hvorutveggja,kʰvɔrʏtvɛca
hvumsa,kʰvʏmsa
hvur,kʰvʏ:r
hvurs,kʰvʏr̥s
hvæs,kʰvai:s
hvæsa,kʰvai:sa
hvæsandi,kʰvai:santɪ
hvæsi,kʰvai:sɪ
hvæsir,kʰvai:sɪr
hvæsti,kʰvaistʏ
hvönn,kʰvœn
hvörfluðu,kʰvœrtlʏðʏ
hvöss,kʰvœs
hvössu,kʰvœsʏ
hvöt,kʰvœ:t
hvött,kʰvœht
hvöttu,kʰvœhtʏ
hvötum,kʰvœ:tʏm
hydro,hɪtrɔ
hygðist,hɪɣðɪst
hygðust,hɪɣðʏst
hygg,hɪk
hyggilegast,hɪcɪlɛ:ɣast
hyggist,hɪcɪst
hyggja,hɪca
hyggjast,hɪcast
hyggju,hɪcʏ
hyggjumst,hɪcʏmst
hyggst,hɪkst
hyggur,hɪkʏr
hygla,hɪkla
hyl,hɪ:l
hyldýpi,hɪltipɪ
hyldýpið,hɪltipɪð
hylinn,hɪ:lɪn
hylja,hɪlja
hyljum,hɪljʏm
hylki,hɪl̥cɪ
hylkinu,hɪl̥cɪnʏ
hylkjum,hɪl̥cʏm
hylli,hɪtlɪ
hylltir,hɪl̥tɪr
hylma,hɪlma
hylmt,hɪlm̥t
hylnum,hɪlnʏm
hylur,hɪ:lʏr
hyperlinkurinn,hai:pɛrliŋ̊kʏrɪn
hypja,hɪ:pja
hyrfi,hɪrvɪ
hyrfu,hɪrvʏ
hyrnan,hɪrtnan
hysjaði,hɪ:sjaðɪ
hyski,hɪscɪ
hýða,hi:ða
hýðið,hi:ðɪð
hýðinu,hi:ðɪnʏ
hýenur,hi:jɛnʏr
hýr,hi:r
hýrnaði,hirtnaðɪ
hýru,hi:rʏ
hýsa,hi:sa
hýsir,hi:sɪr
hýst,hist
hýsti,histɪ
hýstu,histʏ
hæ,hai:
hæddi,haitɪ
hæð,hai:ð
hæða,hai:ða
hæðanna,hai:ðana
hæðar,hai:ðar
Hæðargarði,hai:ðarkarðɪ
Hæðargarður,hai:ðarkarðʏr
hæðarinnar,hai:ðarɪnar
hæðin,hai:ðɪn
hæðina,hai:ðɪna
hæðinni,hai:ðɪnɪ
hæðir,hai:ðɪr
hæðirnar,hai:ðɪtnar
hæðni,haiðnɪ
hæðnislega,haiðnɪstlɛɣa
hæðum,hai:ðʏm
hæðunum,hai:ðɔnʏm
hæf,hai:v
hæfa,hai:va
hæfari,hai:varɪ
hæfði,haivðɪ
hæfðu,haivðʏ
hæfi,hai:vɪ
hæfileg,hai:vɪlɛɣ
hæfilega,hai:vɪlɛɣa
hæfilegan,hai:vɪlɛɣan
hæfilegri,hai:vɪlɛɣrɪ
hæfilegt,hai:vɪlɛxt
hæfilegum,hai:vɪlɛɣʏm
hæfileika,hai:vɪlei:ka
hæfileikann,hai:vɪlei:kan
hæfileikar,hai:vɪlei:kar
hæfileikaríka,hai:vɪleikari:ka
hæfileikaríkur,hai:vɪleikari:kʏr
hæfileiki,hai:vɪlei:cɪ
hæfileikum,hai:vɪlei:kʏm
hæfir,hai:vɪr
hæfist,hai:vɪst
hæfni,haipnɪ
hæft,haift
hæfu,hai:vʏ
hæfum,hai:vʏm
hæfur,hai:vʏr
hæfust,hai:vʏst
hæfustu,hai:vʏstʏ
hæg,hai:ɣ
hæga,hai:ɣa
hægan,hai:ɣan
hægar,hai:ɣar
hægara,hai:ɣara
hægari,hai:ɣarɪ
hægð,haiɣð
hægðarleikur,haiɣðarlei:kʏr
hægði,haiɣðɪ
hægðir,haiɣðɪr
hægðist,haiɣðɪst
hægðum,haiɣðʏm
hægfara,haixfara
hægferð,haixfɛrð
hægindastól,haijɪntastou:l
hægindastólar,haijɪntastou:lar
hægindastóll,haijɪntastoutl̥
hægindastólum,haijɪntastou:lʏm
hægindi,haijɪntɪ
hægir,haijɪr
hægja,haija
hæglát,haiɣlaut
hægláta,haiɣlauta
hæglátur,haiɣlautʏr
hæglega,haiɣlɛɣa
hægra,haiɣra
hægri,haiɣrɪ
hægrimanna,haiɣrɪmana
hægt,haixt
hægu,hai:ɣʏ
hægum,hai:ɣʏm
hægur,hai:ɣʏr
hækju,hai:cʏ
hækjunum,hai:cɔnʏm
hækjur,hai:cʏr
hækjurnar,hai:cʏtnar
hækka,haihka
hækkað,haihkað
hækkaði,haihkaðɪ
hækkaðir,haihkaðɪr
hækkaður,haihkaðʏr
hækkana,haihkana
hækkandi,haihkantɪ
hækkanir,haihkanɪr
hækkar,haihkar
hækki,haihcɪ
hækkuð,haihkʏð
hækkuðu,haihkʏðʏ
hækkun,haihkʏn
hækkunar,haihkʏnar
hækkunarinnar,haihkʏnarɪnar
hækkunin,haihkʏnɪn
hækkunina,haihkʏnɪna
hækkunum,haihkʏnʏm
hæl,hai:l
hæla,hai:la
hælana,hai:lana
hælarnir,hai:latnɪr
hældi,hailtɪ
hæli,hai:lɪ
hælið,hai:lɪð
hælinn,hai:lɪn
hælinu,hai:lɪnʏ
hælis,hai:lɪs
hælnum,hailnʏm
hælum,hai:lʏm
hælunum,hai:lɔnʏm
hæna,hai:na
hænan,hai:nan
hændur,haintʏr
hændust,haintʏst
hængur,haiŋkʏr
hænsni,hainstnɪ
hænsnin,hainstnɪn
hænu,hai:nʏ
hænufet,hai:nʏfɛ:t
hænum,hai:nʏm
hænunni,hai:nʏnɪ
hænunum,hai:nɔnʏm
hænur,hai:nʏr
hænurnar,hai:nʏtnar
hæpið,hai:pɪð
hærra,haira
hærri,hairɪ
hærurnar,hai:rʏtnar
hæst,haist
hæsta,haista
Hæstarétt,haistarjɛht
Hæstaréttar,haistarjɛhtar
hæstaréttardómara,haistarjɛhtatou:mara
hæstaréttarlögmaður,haistarjɛhtalœɣmaðʏr
hæstaréttarlögmanns,haistarjɛhtalœɣmans
Hæstarétti,haistarjɛhtɪ
hæstánægður,haistau:naiɣðʏr
hæsti,haistɪ
Hæstiréttur,haistɪrjɛhtʏr
hæstu,haistʏ
hæstur,haistʏr
hætt,haiht
hætta,haihta
hættan,haihtan
hættar,haihtar
hættara,haihtara
hætti,haihtɪ
hættið,haihtɪð
hættir,haihtɪr
hættu,haihtʏ
hættulaust,haihtʏlœist
hættuleg,haihtʏlɛɣ
hættulega,haihtʏlɛɣa
hættulegan,haihtʏlɛɣan
hættulegar,haihtʏlɛɣar
hættulegasta,haihtʏlɛɣasta
hættulegir,haihtʏleijɪr
hættulegra,haihtʏlɛɣra
hættulegri,haihtʏlɛɣrɪ
hættulegt,haihtʏlɛxt
hættulegu,haihtʏlɛɣʏ
hættulegum,haihtʏlɛɣʏm
hættulegur,haihtʏlɛɣʏr
hættulegustu,haihtʏlɛɣʏstʏ
hættum,haihtʏm
hættuna,haihtʏna
hættunni,haihtʏnɪ
hættur,haihtʏr
hætturnar,haihtʏtnar
hættuspil,haihtʏspɪ:l
hæversku,hai:vɛr̥skʏ
Hödda,hœta
Höddi,hœtɪ
höf,hœ:v
höfð,hœvð
Höfða,hœvða
Höfðaborg,hœvðapɔrk
Höfðaborgar,hœvðapɔrkar
Höfðabrekku,hœvðaprɛhkʏ
höfðað,hœvðað
höfðaði,hœvðaðɪ
höfðalagið,hœvðalaijɪð
höfðar,hœvðar
Höfðatúni,hœvðatu:nɪ
höfðatölu,hœvðatœ:lʏ
höfði,hœvðɪ
höfðingi,hœvðiɲcɪ
höfðinginn,hœvðiɲcɪn
höfðingja,hœvðiɲca
höfðingjanna,hœvðiɲcana
höfðingjans,hœvðiɲcans
höfðingjanum,hœvðiɲcanʏm
höfðingjar,hœvðiɲcar
höfðingjum,hœvðiɲcʏm
höfðinu,hœvðɪnʏ
höfðu,hœvðʏ
höfðuð,hœvðʏð
höfðuðu,hœvðʏðʏ
höfðum,hœvðʏm
höfðust,hœvðʏst
höfgi,hœvcɪ
höfn,hœpn̥
höfnin,hœpnɪn
höfnina,hœpnɪna
höfninni,hœpnɪnɪ
höfnuðu,hœpnʏðʏ
höfnum,hœpnʏm
höfnun,hœpnʏn
höft,hœft
höfuð,hœ:vʏð
höfuðáherslu,hœ:vʏðau:hɛr̥stlʏ
höfuðáverka,hœ:vʏðau:vɛr̥ka
höfuðborg,hœ:vʏðpɔrk
höfuðborgar,hœ:vʏðpɔrkar
höfuðborgarbúa,hœ:vʏðpɔrkarpu:a
höfuðborgarinnar,hœ:vʏðpɔrkarɪnar
höfuðborgarsvæðið,hœ:vʏðpɔrkarsvai:ðɪð
höfuðborgarsvæðinu,hœ:vʏðpɔrkarsvai:ðɪnʏ
höfuðborgarsvæðisins,hœ:vʏðpɔrkarsvai:ðɪsɪns
höfuðborgin,hœ:vʏðpɔrcɪn
höfuðborgina,hœ:vʏðpɔrcɪna
höfuðborginni,hœ:vʏðpɔrcɪnɪ
höfuðhneigingu,hœ:vʏðn̥eijiŋkʏ
höfuðið,hœ:vʏðɪð
höfuðin,hœ:vʏðɪn
höfuðkúpan,hœ:vʏðku:pan
höfuðkúpuna,hœ:vʏðku:pʏna
höfuðmáli,hœ:vʏðmau:lɪ
höfuðs,hœ:vʏðs
höfuðsins,hœ:vʏðsɪns
höfuðsmaður,hœ:vʏðsma:ðʏr
höfuðsmaðurinn,hœ:vʏðsma:ðʏrɪn
höfuðsmann,hœ:vʏðsman
höfuðsmanninn,hœ:vʏðsmanɪn
höfuðsmannsins,hœ:vʏðsmansɪns
höfuðstað,hœ:vʏðsta:ð
höfuðstaðarins,hœ:vʏðsta:ðarɪns
höfuðstaðnum,hœ:vʏðstaðnʏm
höfuðstöðva,hœ:vʏðstœðva
höfuðstöðvar,hœ:vʏðstœðvar
höfuðstöðvum,hœ:vʏðstœðvʏm
höfuðverk,hœ:vʏðvɛr̥k
höfuðverkur,hœ:vʏðvɛr̥kʏr
höfuðverkurinn,hœ:vʏðvɛr̥kʏrɪn
höfuðvígi,hœ:vʏðvi:jɪ
höfum,hœ:vʏm
höfund,hœ:vʏnt
höfunda,hœ:vʏnta
höfundanna,hœ:vʏntana
höfundar,hœ:vʏntar
höfundarins,hœ:vʏntarɪns
höfundarnir,hœ:vʏntatnɪr
höfundarrétt,hœ:vʏntarjɛht
höfundarrétti,hœ:vʏntarjɛhtɪ
höfundarverk,hœ:vʏntarvɛr̥k
höfundi,hœ:vʏntɪ
höfundinn,hœ:vʏntɪn
höfundinum,hœ:vʏntɪnʏm
höfundum,hœ:vʏntʏm
höfundur,hœ:vʏntʏr
höfundurinn,hœ:vʏntʏrɪn
högg,hœk
högga,hœka
höggdofa,hœktɔva
höggi,hœcɪ
höggið,hœcɪð
höggmynd,hœkmɪnt
höggmyndagarðurinn,hœkmɪntakarðʏrɪn
höggmyndalist,hœkmɪntalɪst
höggmyndir,hœkmɪntɪr
höggnir,hœknɪr
höggs,hœks
höggstað,hœkstað
höggum,hœkʏm
höggunum,hœkɔnʏm
höggva,hœkva
höggvið,hœkvɪð
höggvin,hœkvɪn
höggvinn,hœkvɪn
Högna,hœkna
Högnason,hœknasɔ:n
Högni,hœknɪ
höguðu,hœ:ɣʏðʏ
högum,hœ:ɣʏm
hökti,hœxtɪ
höku,hœ:kʏ
hökuna,hœ:kʏna
hökunni,hœ:kʏnɪ
höldnu,hœltnʏ
höldum,hœltʏm
höll,hœtl̥
höllin,hœtlɪn
höllina,hœtlɪna
höllinni,hœtlɪnɪ
höllu,hœtlʏ
hölluðust,hœtlʏðʏst
höllum,hœtlʏm
hölt,hœl̥t
hömlulaus,hœmlʏlœi:s
hömlum,hœmlʏm
hömlur,hœmlʏr
hömrum,hœmrʏm
hömrunum,hœmrɔnʏm
hömuðust,hœ:mʏðʏst
hönd,hœnt
höndin,hœntɪn
höndina,hœntɪna
höndinni,hœntɪnɪ
höndla,hœntla
höndlarinn,hœntlarɪn
höndum,hœntʏm
höndunum,hœntɔnʏm
hönk,hœin̥k
Hönnu,hœnʏ
hönnuð,hœnʏð
hönnuða,hœnʏða
hönnuði,hœnʏðɪ
hönnuðir,hœnʏðɪr
hönnuðu,hœnʏðʏ
hönnuðum,hœnʏðʏm
hönnuður,hœnʏðʏr
hönnuðurinn,hœnʏðʏrɪn
hönnun,hœnʏn
hönnunar,hœnʏnar
hönnunin,hœnʏnɪn
hönnunina,hœnʏnɪna
hörð,hœrð
hörðu,hœrðʏ
hörðum,hœrðʏm
Hörður,hœrðʏr
hörðustu,hœrðʏstʏ
hörfað,hœrvað
hörfaði,hœrvaðɪ
hörfar,hœrvar
Hörgárdal,hœrkaurta:l
hörgull,hœrkʏtl̥
hörku,hœr̥kʏ
hörkuleg,hœr̥kʏlɛɣ
hörkulega,hœr̥kʏlɛɣa
hörkulegt,hœr̥kʏɛxt
hörkutól,hœr̥kʏtou:l
hörmuðu,hœrmʏðʏ
hörmuleg,hœrmʏlɛɣ
hörmulega,hœrmʏlɛɣa
hörmulegt,hœrmʏlɛxt
hörmulegu,hœrmʏlɛɣʏ
hörmung,hœrmuŋk
hörmungar,hœrmuŋkar
hörmungarnar,hœrmuŋkatnar
hörmungum,hœrmuŋkɔnʏm
Hörpu,hœr̥pʏ
hörund,hœ:rʏnt
hörundi,hœ:rʏntɪ
hörundinu,hœ:rʏntɪnʏ
hörunds,hœ:rʏnts
Höskuldsson,hœskʏltsɔ:n
Höskuldur,hœskʏltʏr
höstug,hœstʏɣ
höstuglega,hœstʏɣlɛɣa
höstugur,hœstʏɣʏr
hött,hœht
höttunum,hœhtɔnʏm
höttur,hœhtʏr
hötuðu,hœ:tʏðʏ
I,ɪ:
ia,ɪ:a:
IBM,ɪ: pjɛ: ɛm
Ibsen,ipsɛn
Ibsens,ipsɛns
iceland,aj:slant
icelandair,aj:slantɛ:r
idjót,ɪ:tjout
ið,ɪ:ð
iðaði,ɪ:ðaðɪ
iðandi,ɪ:ðantɪ
iðar,ɪ:ðar
iðgjalda,ɪðcalta
iðgjöld,ɪðcœlt
iðgjöldum,ɪðcœltʏm
iðin,ɪ:ðɪn
iðinn,ɪ:ðɪn
iðja,ɪðja
iðju,ɪðjʏ
iðjulaus,ɪðjʏlœi:s
iðjuleysi,ɪðjʏlei:sɪ
iðjusemi,ɪðjʏsɛ:mɪ
iðjuþjálfa,ɪðjʏθjaulva
iðjuþjálfun,ɪðjʏθjaulvʏn
iðka,ɪθka
iðkenda,ɪθkɛnta
iðkendum,ɪθkɛntʏm
iðkendur,ɪθkɛntʏr
iðkun,ɪθkʏn
iðn,ɪðn
iðnað,ɪðnað
iðnaðar,ɪðnaðar
iðnaðarins,ɪðnaðarɪns
iðnaðarmanna,ɪðnaðarmana
iðnaðarmenn,ɪðnaðarmɛn
iðnaðarmönnum,ɪðnaðarmœnʏm
iðnaðarráðherra,ɪðnaðarau:ðhɛra
iðnaðarráðuneytisins,ɪðnaðarau:ðʏnei:tɪsɪns
iðnaðarsafnið,ɪðnaðarsapnɪð
iðnaðarsvæði,ɪðnaðarsvai:ðɪ
iðnaði,ɪðnaðɪ
iðnaður,ɪðnaðʏr
iðnfyrirtæki,ɪðnfɪrɪtai:cɪ
iðngrein,ɪðnkrein
iðnir,ɪðnɪr
Iðnó,ɪðnou
iðnríkin,ɪðnricɪn
iðnríkja,ɪðnrica
iðnskólann,ɪðnskoulan
iðnskólans,ɪðnskoulans
iðnskólanum,ɪðnskoulanʏm
Iðntæknistofnun,ɪðntaihknɪstɔpnʏn
iðraðist,ɪðraðɪst
iðrandi,ɪðrantɪ
iðrast,ɪðrast
iðrum,ɪðrʏm
iðrunar,ɪðrʏnar
Iðufelli,ɪ:ðʏfɛtlɪ
iðulega,ɪ:ðʏlɛɣa
Iðunn,ɪ:ðʏn
Iðunnar,ɪ:ðʏnar
Iðunni,ɪ:ðʏnɪ
iður,ɪ:ðʏr
Ikea,i:cɛa
iktsýki,ɪxtsicɪ
il,ɪ:l
ilbreið,ɪlprɛjð
iljar,ɪljar
iljarnar,ɪljatnar
iljunum,ɪljɔnʏm
ill,itl̥
illa,itla
illan,itlan
illdeilum,itl̥teilʏm
illfýsi,itl̥fisɪ
illgirni,itl̥cɪrtnɪ
illgresi,itl̥krɛsɪ
illgresið,itl̥krɛsɪð
illhvela,itl̥kʰvɛla
illi,itlɪ
illilega,itlɪlɛɣa
illilegum,itlɪlɛ:ɣʏm
illir,itlɪr
illkvittni,itl̥kvɪhtnɪ
illkvittnislega,itl̥kvɪhtnɪstlɛɣa
illkynja,itl̥cɪnja
illlífi,itlivɪ
illmenni,itl̥mɛnɪ
illmögulegt,itl̥mœɣʏlɛxt
illra,itl̥ra
illri,itl̥rɪ
illræmdi,itl̥rajmtɪ
illræmdu,itl̥rajmtʏ
ills,ils
illskan,ilskan
illsku,ilskʏ
illskulega,ilskʏlɛɣa
illskuna,ilskʏna
illskunni,ilskʏnɪ
illskuríkt,ilskʏrixt
illt,il̥t
illu,itlʏ
Illuga,itlʏɣa
Illugi,itlʏijɪ
illum,itlʏm
illur,itlʏr
illviðráðanlegri,itl̥vɪðra:uðanlɛɣrɪ
illviðri,itl̥vɪðrɪ
illvirki,itl̥vɪr̥cɪ
illvíga,itl̥viɣa
illvígan,itl̥viɣan
illvígustu,itl̥viɣʏstʏ
ilm,ɪlm
ilmandi,ɪlmantɪ
ilmar,ɪlmar
ilmgufuböð,ɪlmkʏvʏpœ:ð
ilmi,ɪlmɪ
ilminn,ɪlmɪn
ilminum,ɪlmɪnʏm
ilmkerti,ɪlmcʰɛr̥tɪ
ilmuðu,ɪlmʏðʏ
ilmum,ɪlmʏm
ilmur,ɪlmʏr
ilmurinn,ɪlmʏrɪn
ilmvatni,ɪlmvahtnɪ
ilmvötn,ɪlmvœhtn̥
ilskóm,ɪ:lskoum
ilskóna,ɪ:lskouna
Imba,ɪmpa
imbi,ɪmpɪ
Imbu,ɪmpʏ
impregilo,ɪmprɛ:cɪlɔ
impressjónismi,ɪmprɛsjounɪsmɪ
impru,ɪm̥prʏ
indíanapólis,ɪntijanapʰɔ:ulɪs
indíána,ɪntjauna
indíánakonan,ɪntjaunakʰɔ:nan
indíánalist,ɪntjaunalɪst
indíánana,ɪntjaunana
indíánar,ɪntjaunar
indíáni,ɪntjaunɪ
indíánum,ɪntjaunʏm
indíánunum,ɪntjaunɔnʏm
indíur,ɪntijʏr
Indland,ɪntlant
Indlandi,ɪntlantɪ
Indlands,ɪntlants
indlandshaf,ɪntlantsha:v
Indónesíu,ɪntounɛsijʏ
Indriða,ɪntrɪða
Indriðadóttir,ɪntrɪðatouhtɪr
Indriðason,ɪntrɪðasɔ:n
Indriði,ɪntrɪðɪ
indussléttunum,ɪntʏstljɛhtɔnʏm
Indverja,ɪntvɛrja
Indverjar,ɪntvɛrjar
Indverjum,ɪntvɛrjʏm
indverska,ɪntvɛr̥ska
indverski,ɪntvɛr̥scɪ
indverskir,ɪntvɛr̥scɪr
indversku,ɪntvɛr̥skʏ
indverskum,ɪntvɛr̥skʏm
indæl,ɪntail
indæla,ɪntaila
indælar,ɪntailar
indæll,ɪntaitl̥
indælt,ɪntail̥t
inflúensa,ɪnfluɛnsa
info,ɪnfou
Inga,iŋka
Ingadóttir,iŋkatouhtɪr
ingar,iŋkar
Ingason,iŋkasɔ:n
Inger,iŋɛr
Ingi,iɲcɪ
Ingibergsdóttir,iɲcɪpɛrkstouhtɪr
Ingibergsson,iɲcɪpɛrksɔ:n
Ingibergur,iɲcɪpɛrkʏr
Ingibjargar,iɲcɪpjarkar
Ingibjörg,iɲcɪpjœrk
Ingibjörgu,iɲcɪpjœrkʏ
ingigerður,iɲcɪcɛrðʏr
Ingileif,iɲcɪlei:v
Ingimar,iɲcɪma:r
Ingimars,iɲcɪmar̥s
Ingimarsdóttir,iɲcɪmar̥stouhtɪr
Ingimarsson,iɲcɪmar̥sɔ:n
Ingimundar,iɲcɪmʏntar
Ingimundardóttir,iɲcɪmʏntartouhtɪr
Ingimundarson,iɲcɪmʏntarsɔ:n
Ingimundarsonar,iɲcɪmʏntarsɔ:nar
Ingimundur,iɲcɪmʏntʏr
Ingjaldur,iɲcaltʏr
Ingólf,iŋkoulv
Ingólfi,iŋkoulvɪ
Ingólfs,iŋkoulvs
ingólfsbrunn,iŋkoulsprʏn
Ingólfsdóttir,iŋkoulvstouhtɪr
Ingólfsdóttur,iŋkoulvstouhtʏr
Ingólfsson,iŋkoulvsɔ:n
Ingólfssonar,iŋkoulvsɔ:nar
Ingólfsstræti,iŋkoulvstrai:tɪ
Ingólfssyni,iŋkoulvsɪ:nɪ
Ingólfstorg,iŋkoulvstɔrk
Ingólfstorgi,iŋkoulvstɔrcɪ
Ingólfur,iŋkoulvʏr
Ingrid,iŋkrɪt
Ingridar,iŋkrɪtar
Ingu,iŋkʏ
Ingunn,iŋkʏn
Ingunnar,iŋkʏnar
Ingunni,iŋkʏnɪ
Ingva,iŋkva
ingvadóttir,iŋkvatouhtɪr
Ingvar,iŋkvar
Ingvari,iŋkvarɪ
Ingvars,iŋkvar̥s
Ingvarsdóttir,iŋkvar̥stouhtɪr
Ingvarsdóttur,iŋkvar̥stouhtʏr
Ingvarsson,iŋkvar̥sɔ:n
Ingvarssonar,iŋkvar̥sɔ:nar
Ingvason,iŋkvasɔ:n
ingveldi,iŋkvɛltɪ
Ingveldur,iŋkvɛltʏr
Ingvi,iŋkvɪ
Ingþór,iŋkθour
inka,iŋ̥ka
inn,ɪn
inna,ɪna
innan,ɪnan
innanborðs,ɪnanpɔrðs
innanbæjar,ɪnanpaijar
innandyra,ɪnantɪ:ra
innanfrá,ɪnanfrau:
innangengt,ɪnanceiŋ̊t
innanhandar,ɪnanhantar
innanhúss,ɪnanhus
innanhússarkitekt,ɪnanhusar̥cɪtʰɛxt
innanlands,ɪnanlants
innanlandsflug,ɪnanlantsflʏ:ɣ
innanlandsflugi,ɪnanlantsflʏ:jɪ
innanlandsflugið,ɪnanlantsflʏ:jɪð
innanlandsfluginu,ɪnanlantsflʏ:jɪnʏ
innanlandsflugs,ɪnanlantsflʏxs
innanlandsflugsins,ɪnanlantsflʏxsɪns
innanlandsmarkaði,ɪnanlantsmar̥kaðɪ
innanríkisráðherra,ɪnanricɪsrau:ðhɛra
innanríkisráðuneytinu,ɪnanricɪsrau:ðʏnei:tɪnʏ
innanstokks,ɪnanstɔhks
Innansveitarkroniku,ɪnansvei:tarkrou:nɪkʏ
innantóm,inantou:m
innantómt,inantoum̥t
innanum,ɪnanʏm
innanundir,ɪnanʏntɪr
innanverð,ɪnanvɛrð
innar,ɪnar
innarlega,ɪnarlɛɣa
inná,ɪnau:
innbakaður,ɪmpakaðʏr
innblástur,ɪnplaustʏr
innbrennt,ɪmprɛn̥t
innbrot,ɪnprɔt
innbrotið,ɪnprɔtɪð
innbrotum,ɪnprɔtʏm
innbú,ɪmpu
innbyggða,ɪmpɪɣða
innbyggðum,ɪnpɪɣðʏm
innbyggður,ɪnpɪɣðʏr
innbyggt,ɪnpɪxt
innbyrða,ɪnpɪrða
innbyrðis,ɪnpɪrðɪs
innbæjarins,ɪmpajarɪns
inndregin,ɪntrɛjɪn
inneftir,ɪnɛftɪr
inneign,ɪneikn̥
innfalin,ɪnvatlɪn
innflutning,ɪnflʏhtniŋk
innflutningi,ɪnflʏhtnicɪ
innflutninginn,ɪnflʏhtniɲcɪn
innflutnings,ɪnflʏhtniŋs
innflutningsferlið,ɪnflʏhtniŋsfɛrtlɪð
innflutningur,ɪnflʏhtniŋkʏr
innflutt,ɪnflʏht
innfluttar,ɪnflʏhtar
innfluttu,ɪnflʏhtʏ
innfluttum,ɪnflʏhtʏm
innflytjanda,ɪnflɪtjanta
innflytjandi,ɪnflɪtjantɪ
innflytjenda,ɪnflɪtjɛnta
innflytjendum,ɪnflɪtjɛntʏm
innflytjendur,ɪnflɪtjɛntʏr
innfrá,ɪnfrau
innfyrir,ɪnfɪrɪr
innfædda,ɪnfaita
innfæddir,ɪnfaitɪr
innfæddra,ɪnfaitra
innfæddum,ɪnfaitʏm
innfæddur,ɪnfaitʏr
innfærslu,ɪnfajr̥stlʏ
inngang,ɪŋkauŋk
innganga,ɪŋkauŋka
inngangi,ɪŋkauɲcɪ
innganginn,ɪŋkauɲcɪn
inngangs,ɪŋkauŋs
inngangsins,ɪŋkauŋsɪns
inngangur,ɪŋkauŋkʏr
inngangurinn,ɪŋkauŋkʏrɪn
inngjöfin,ɪɲcœvɪn
inngrip,ɪŋkrɪp
inngöngu,ɪŋkœiŋkʏ
inngönguhurðir,ɪŋkœjŋkʏhʏrðɪr
innheimt,ɪnheim̥t
innheimta,ɪnheim̥ta
innheimti,ɪnhɛjm̥tɪ
innheimtu,ɪnheim̥tʏ
innheimtuna,ɪnhɛjm̥tʏna
innherjaupplýsingum,ɪnhɛrjaʏhplisiŋkʏm
innhjúpurinn,ɪnçupʏrɪn
innhringingu,ɪnr̥iɲciŋkʏ
inni,ɪnɪ
innifalið,ɪnɪfa:lɪð
innifalin,ɪnɪfa:lɪn
innifalinn,ɪnɪfa:lɪn
innifelur,ɪnɪfɛ:lʏr
innihald,ɪnɪhalt
innihalda,ɪnɪhalta
innihaldi,ɪnɪhaltɪ
innihaldið,ɪnɪhaltɪð
innihaldinu,ɪnɪhaltɪnʏ
innihaldsefni,ɪnɪhaltsɛpnɪ
innihaldslausra,ɪnɪhaltstlœisra
inniheldur,ɪnɪhɛltʏr
innihéldu,ɪnɪçɛltʏ
innihélt,ɪnɪçɛl̥t
innihitanemar,ɪnɪhɪtanɛ:mar
innikerfi,ɪnɪcʰɛrvɪ
innileg,ɪnɪlɛɣ
innilega,ɪnɪlɛɣa
innilegar,ɪnɪlɛɣar
innilegri,ɪnɪlɛɣrɪ
innilegt,ɪnɪlɛxt
innilegu,ɪnɪlɛɣʏ
innilegustu,ɪnɪlɛɣʏstʏ
innileik,ɪnɪlɛik
innileika,ɪnɪlɛika
innilokun,ɪnɪlɔ:kʏn
innilokunarkennd,ɪnɪlɔkʏnarcɛnt
inniskóm,ɪnɪskou:m
inniskóna,ɪnɪskou:na
inniskónum,ɪnɪskou:nʏm
innisundlaug,ɪnɪsʏntlœjɣ
innkalla,ɪŋkatla
innkaup,ɪŋkaup
innkaupa,ɪŋkaupa
innkaupalistar,ɪŋkʰœjpalɪstar
innkaupastjóri,ɪŋkaupastjou:rɪ
